,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,rank_status
24163,2001-07-17,Colombia,Chile,2,0,Copa América,Barranquilla,Colombia,False,2
24164,2001-07-17,Ecuador,Venezuela,4,0,Copa América,Barranquilla,Colombia,True,2
24165,2001-07-18,Brazil,Paraguay,3,1,Copa América,Cali,Colombia,True,2
24166,2001-07-18,Peru,Mexico,1,0,Copa América,Cali,Colombia,True,2
24167,2001-07-19,Bolivia,Costa Rica,0,4,Copa América,Medellín,Colombia,True,2
24168,2001-07-19,Honduras,Uruguay,1,0,Copa América,Medellín,Colombia,True,2
24169,2001-07-19,Malaysia,Saudi Arabia,0,4,Friendly,Kuala Lumpur,Malaysia,False,2
24170,2001-07-20,Cuba,Jamaica,0,0,Friendly,Havana,Cuba,False,2
24171,2001-07-21,Algeria,Egypt,1,1,FIFA World Cup qualification,Annaba,Algeria,False,2
24172,2001-07-21,Malawi,South Africa,1,0,COSAFA Cup,Blantyre,Malawi,False,2
24173,2001-07-21,Namibia,Senegal,0,5,FIFA World Cup qualification,Windhoek,Namibia,False,2
24175,2001-07-22,Chile,Mexico,0,2,Copa América,Pereira,Colombia,True,2
24176,2001-07-22,Uruguay,Costa Rica,2,1,Copa América,Armenia,Colombia,True,2
24177,2001-07-23,Brazil,Honduras,0,2,Copa América,Manizales,Colombia,True,2
24178,2001-07-23,Colombia,Peru,3,0,Copa América,Armenia,Colombia,False,2
24181,2001-07-25,Mexico,Uruguay,2,1,Copa América,Pereira,Colombia,True,2
24182,2001-07-26,Colombia,Honduras,2,0,Copa América,Manizales,Colombia,False,2
24184,2001-07-27,Libya,Zambia,2,4,FIFA World Cup qualification,Tripoli,Libya,False,2
24185,2001-07-28,Malawi,Zimbabwe,0,1,FIFA World Cup qualification,Blantyre,Malawi,False,2
24187,2001-07-28,Uruguay,Honduras,2,2,Copa América,Bogotá,Colombia,True,2
24188,2001-07-29,Angola,Togo,1,1,FIFA World Cup qualification,Luanda,Angola,False,2
24189,2001-07-29,Colombia,Mexico,1,0,Copa América,Bogotá,Colombia,False,2
24191,2001-07-29,Madagascar,Congo,1,0,FIFA World Cup qualification,Antananarivo,Madagascar,False,2
24192,2001-07-29,Nigeria,Ghana,3,0,FIFA World Cup qualification,Port Harcourt,Nigeria,False,2
24193,2001-07-29,Oman,Iraq,1,0,Friendly,Muscat,Oman,False,2
24194,2001-07-29,Panama,Cuba,0,0,Gold Cup qualification,Panama City,Panama,False,2
24195,2001-07-29,Sudan,Sierra Leone,3,0,FIFA World Cup qualification,Omdurman,Sudan,False,2
24197,2001-08-01,Grenada,Jamaica,2,0,Friendly,St. George's,Grenada,False,2
24200,2001-08-02,United Arab Emirates,Iraq,2,2,Friendly,Abu Dhabi,United Arab Emirates,False,2
24202,2001-08-03,Kuwait,Trinidad and Tobago,1,1,Friendly,Shanghai,China PR,True,2
24203,2001-08-04,Colombia,Liberia,2,1,Friendly,East Rutherford,United States,True,2
24204,2001-08-05,China PR,Trinidad and Tobago,3,0,Friendly,Shanghai,China PR,False,2
24205,2001-08-05,Cuba,Panama,1,0,Gold Cup qualification,Havana,Cuba,False,2
24207,2001-08-05,Saudi Arabia,Qatar,1,2,Friendly,Riyadh,Saudi Arabia,False,2
24209,2001-08-08,United Arab Emirates,Saudi Arabia,0,1,Friendly,Doha,Qatar,True,2
24210,2001-08-09,Brazil,Panama,5,0,Friendly,Curitiba,Brazil,False,2
24212,2001-08-10,Qatar,Bahrain,1,1,Friendly,Doha,Qatar,False,2
24213,2001-08-13,Singapore,Thailand,0,5,Friendly,Singapore,Singapore,False,2
24214,2001-08-14,Chile,Bolivia,2,2,FIFA World Cup qualification,Santiago,Chile,False,2
24215,2001-08-14,Venezuela,Uruguay,2,0,FIFA World Cup qualification,Maracaibo,Venezuela,False,2
24216,2001-08-15,Austria,Switzerland,1,2,Friendly,Vienna,Austria,False,2
24217,2001-08-15,Bosnia and Herzegovina,Malta,2,0,Friendly,Sarajevo,Bosnia and Herzegovina,False,2
24218,2001-08-15,Brazil,Paraguay,2,0,FIFA World Cup qualification,Porto Alegre,Brazil,False,2
24221,2001-08-15,Ecuador,Argentina,0,2,FIFA World Cup qualification,Quito,Ecuador,False,2
24222,2001-08-15,England,Netherlands,0,2,Friendly,London,England,False,2
24223,2001-08-15,Estonia,Cyprus,2,2,FIFA World Cup qualification,Tallinn,Estonia,False,2
24224,2001-08-15,Finland,Belgium,4,1,Friendly,Helsinki,Finland,False,2
24225,2001-08-15,France,Denmark,1,0,Friendly,Nantes,France,False,2
24226,2001-08-15,Hungary,Germany,2,5,Friendly,Budapest,Hungary,False,2
24227,2001-08-15,Iceland,Poland,1,1,Friendly,Reykjavík,Iceland,False,2
24228,2001-08-15,Republic of Ireland,Croatia,2,2,Friendly,Dublin,Republic of Ireland,False,2
24229,2001-08-15,Japan,Australia,3,0,Friendly,Fukuroi,Japan,False,2
24230,2001-08-15,Latvia,Ukraine,0,1,Friendly,Riga,Latvia,False,2
24231,2001-08-15,Lithuania,Israel,2,3,Friendly,Kaunas,Lithuania,False,2
24232,2001-08-15,Luxembourg,Georgia,0,3,Friendly,Mondercange,Luxembourg,False,2
24233,2001-08-15,Norway,Turkey,1,1,Friendly,Oslo,Norway,False,2
24234,2001-08-15,Portugal,Moldova,3,0,Friendly,Faro,Portugal,False,2
24235,2001-08-15,Russia,Greece,0,0,Friendly,Moscow,Russia,False,2
24236,2001-08-15,Serbia,Faroe Islands,2,0,FIFA World Cup qualification,Belgrade,Yugoslavia,True,2
24238,2001-08-15,Slovenia,Romania,2,2,Friendly,Ljubljana,Slovenia,False,2
24239,2001-08-15,Sweden,South Africa,3,0,Friendly,Solna,Sweden,False,2
24240,2001-08-16,Colombia,Peru,0,1,FIFA World Cup qualification,Bogotá,Colombia,False,2
24241,2001-08-16,Qatar,Oman,0,0,FIFA World Cup qualification,Doha,Qatar,False,2
24242,2001-08-17,Iraq,Thailand,4,0,FIFA World Cup qualification,Baghdad,Iraq,False,2
24243,2001-08-17,Saudi Arabia,Bahrain,1,1,FIFA World Cup qualification,Riyadh,Saudi Arabia,False,2
24244,2001-08-17,United Arab Emirates,Uzbekistan,4,1,FIFA World Cup qualification,Abu Dhabi,United Arab Emirates,False,2
24245,2001-08-18,Zambia,Angola,1,1,COSAFA Cup,Lusaka,Zambia,False,2
24246,2001-08-23,Bahrain,Iraq,2,0,FIFA World Cup qualification,Riffa,Bahrain,False,2
24247,2001-08-23,Mexico,Liberia,5,4,Friendly,Veracruz,Mexico,False,2
24249,2001-08-25,China PR,United Arab Emirates,3,0,FIFA World Cup qualification,Shenyang,China PR,False,2
24250,2001-08-25,Malawi,Zimbabwe,0,2,COSAFA Cup,Blantyre,Malawi,False,2
24251,2001-08-26,Uzbekistan,Qatar,2,1,FIFA World Cup qualification,Tashkent,Uzbekistan,False,2
24252,2001-08-31,Oman,China PR,0,2,FIFA World Cup qualification,Muscat,Oman,False,2
24253,2001-08-31,Saudi Arabia,Iraq,1,0,FIFA World Cup qualification,Riffa,Bahrain,True,2
24254,2001-08-31,United Arab Emirates,Qatar,0,2,FIFA World Cup qualification,Abu Dhabi,United Arab Emirates,False,2
24255,2001-09-01,Albania,Finland,0,2,FIFA World Cup qualification,Tirana,Albania,False,2
24256,2001-09-01,Andorra,Portugal,1,7,FIFA World Cup qualification,Lleida,Spain,True,2
24257,2001-09-01,Belarus,Ukraine,0,2,FIFA World Cup qualification,Minsk,Belarus,False,2
24258,2001-09-01,Bosnia and Herzegovina,Israel,0,0,FIFA World Cup qualification,Sarajevo,Bosnia and Herzegovina,False,2
24259,2001-09-01,Chile,France,2,1,Friendly,Santiago,Chile,False,2
24260,2001-09-01,Denmark,Northern Ireland,1,1,FIFA World Cup qualification,Copenhagen,Denmark,False,2
24261,2001-09-01,Faroe Islands,Luxembourg,1,0,FIFA World Cup qualification,Toftir,Faroe Islands,False,2
24262,2001-09-01,Georgia,Hungary,3,1,FIFA World Cup qualification,Tbilisi,Georgia,False,2
24263,2001-09-01,Germany,England,1,5,FIFA World Cup qualification,Munich,Germany,False,2
24264,2001-09-01,Iceland,Czech Republic,3,1,FIFA World Cup qualification,Reykjavík,Iceland,False,2
24265,2001-09-01,Republic of Ireland,Netherlands,1,0,FIFA World Cup qualification,Dublin,Republic of Ireland,False,2
24266,2001-09-01,Lithuania,Italy,0,0,FIFA World Cup qualification,Kaunas,Lithuania,False,2
24268,2001-09-01,Malta,Bulgaria,0,2,FIFA World Cup qualification,Attard,Malta,False,2
24269,2001-09-01,Moldova,Azerbaijan,2,0,FIFA World Cup qualification,Chişinău,Moldova,False,2
24270,2001-09-01,Poland,Norway,3,0,FIFA World Cup qualification,Chorzów,Poland,False,2
24271,2001-09-01,Scotland,Croatia,0,0,FIFA World Cup qualification,Glasgow,Scotland,False,2
24272,2001-09-01,Slovakia,Turkey,0,1,FIFA World Cup qualification,Bratislava,Slovakia,False,2
24273,2001-09-01,Slovenia,Russia,2,1,FIFA World Cup qualification,Ljubljana,Slovenia,False,2
24274,2001-09-01,Spain,Austria,4,0,FIFA World Cup qualification,Valencia,Spain,False,2
24275,2001-09-01,Switzerland,Serbia,1,2,FIFA World Cup qualification,Basel,Switzerland,False,2
24277,2001-09-01,Trinidad and Tobago,Costa Rica,0,2,FIFA World Cup qualification,Port of Spain,Trinidad and Tobago,False,2
24279,2001-09-01,Wales,Armenia,0,0,FIFA World Cup qualification,Cardiff,Wales,False,2
24280,2001-09-02,Jamaica,Mexico,1,2,FIFA World Cup qualification,Kingston,Jamaica,False,2
24281,2001-09-04,Chile,Venezuela,0,2,FIFA World Cup qualification,Santiago,Chile,False,2
24282,2001-09-04,Peru,Uruguay,0,2,FIFA World Cup qualification,Lima,Peru,False,2
24283,2001-09-05,Argentina,Brazil,2,1,FIFA World Cup qualification,Buenos Aires,Argentina,False,2
24284,2001-09-05,Austria,Bosnia and Herzegovina,2,0,FIFA World Cup qualification,Vienna,Austria,False,2
24286,2001-09-05,Belarus,Poland,4,1,FIFA World Cup qualification,Minsk,Belarus,False,2
24287,2001-09-05,Belgium,Scotland,2,0,FIFA World Cup qualification,Brussels,Belgium,False,2
24288,2001-09-05,Bulgaria,Denmark,0,2,FIFA World Cup qualification,Sofia,Bulgaria,False,2
24289,2001-09-05,Colombia,Ecuador,0,0,FIFA World Cup qualification,Bogotá,Colombia,False,2
24291,2001-09-05,Cyprus,Portugal,1,3,FIFA World Cup qualification,Larnaca,Cyprus,False,2
24292,2001-09-05,Czech Republic,Malta,3,2,FIFA World Cup qualification,Teplice,Czech Republic,False,2
24293,2001-09-05,England,Albania,2,0,FIFA World Cup qualification,Newcastle,England,False,2
24294,2001-09-05,Faroe Islands,Russia,0,3,FIFA World Cup qualification,Tórshavn,Faroe Islands,False,2
24295,2001-09-05,Finland,Greece,5,1,FIFA World Cup qualification,Helsinki,Finland,False,2
24296,2001-09-05,Georgia,Lithuania,2,0,FIFA World Cup qualification,Tbilisi,Georgia,False,2
24297,2001-09-05,Honduras,Jamaica,1,0,FIFA World Cup qualification,Tegucigalpa,Honduras,False,2
24298,2001-09-05,Hungary,Romania,0,2,FIFA World Cup qualification,Budapest,Hungary,False,2
24299,2001-09-05,Italy,Morocco,1,0,Friendly,Piacenza,Italy,False,2
24300,2001-09-05,Liechtenstein,Spain,0,2,FIFA World Cup qualification,Vaduz,Liechtenstein,False,2
24301,2001-09-05,Luxembourg,Switzerland,0,3,FIFA World Cup qualification,Luxembourg,Luxembourg,False,2
24302,2001-09-05,Mexico,Trinidad and Tobago,3,0,FIFA World Cup qualification,Mexico City,Mexico,False,2
24303,2001-09-05,Netherlands,Estonia,5,0,FIFA World Cup qualification,Eindhoven,Netherlands,False,2
24304,2001-09-05,Northern Ireland,Iceland,3,0,FIFA World Cup qualification,Belfast,Northern Ireland,False,2
24305,2001-09-05,Norway,Wales,3,2,FIFA World Cup qualification,Oslo,Norway,False,2
24306,2001-09-05,Paraguay,Bolivia,5,1,FIFA World Cup qualification,Asunción,Paraguay,False,2
24307,2001-09-05,San Marino,Croatia,0,4,FIFA World Cup qualification,Serravalle,San Marino,False,2
24308,2001-09-05,Serbia,Slovenia,1,1,FIFA World Cup qualification,Belgrade,Yugoslavia,True,2
24309,2001-09-05,Slovakia,Moldova,4,2,FIFA World Cup qualification,Trenčín,Slovakia,False,2
24310,2001-09-05,Turkey,Sweden,1,2,FIFA World Cup qualification,Istanbul,Turkey,False,2
24311,2001-09-05,Ukraine,Armenia,3,0,FIFA World Cup qualification,L'viv,Ukraine,False,2
24312,2001-09-06,Bahrain,Thailand,1,1,FIFA World Cup qualification,Riffa,Bahrain,False,2
24314,2001-09-07,Qatar,China PR,1,1,FIFA World Cup qualification,Doha,Qatar,False,2
24315,2001-09-07,Saudi Arabia,United Arab Emirates,0,2,Friendly,Dammam,Saudi Arabia,False,2
24316,2001-09-08,Uzbekistan,Oman,5,0,FIFA World Cup qualification,Tashkent,Uzbekistan,False,2
24319,2001-09-14,Oman,United Arab Emirates,1,1,FIFA World Cup qualification,Muscat,Oman,False,2
24320,2001-09-14,Qatar,Iraq,0,0,Friendly,Doha,Qatar,False,2
24321,2001-09-15,China PR,Uzbekistan,2,0,FIFA World Cup qualification,Shenyang,China PR,False,2
24322,2001-09-15,Thailand,Saudi Arabia,1,3,FIFA World Cup qualification,Bangkok,Thailand,False,2
24323,2001-09-16,Angola,Zimbabwe,0,0,COSAFA Cup,Luanda,Angola,False,2
24325,2001-09-21,Bahrain,Saudi Arabia,0,4,FIFA World Cup qualification,Riffa,Bahrain,False,2
24326,2001-09-21,Oman,Qatar,0,3,FIFA World Cup qualification,Muscat,Oman,False,2
24327,2001-09-22,Thailand,Iraq,1,1,FIFA World Cup qualification,Bangkok,Thailand,False,2
24328,2001-09-22,Uzbekistan,United Arab Emirates,0,1,FIFA World Cup qualification,Tashkent,Uzbekistan,False,2
24329,2001-09-27,United Arab Emirates,China PR,0,1,FIFA World Cup qualification,Abu Dhabi,United Arab Emirates,False,2
24330,2001-09-28,Iraq,Bahrain,1,0,FIFA World Cup qualification,Baghdad,Iraq,False,2
24331,2001-09-28,Qatar,Uzbekistan,2,2,FIFA World Cup qualification,Doha,Qatar,False,2
24333,2001-09-29,Thailand,Oman,2,0,Friendly,Bangkok,Thailand,False,2
24334,2001-10-04,Japan,Senegal,0,2,Friendly,Lens,France,True,2
24335,2001-10-04,Qatar,United Arab Emirates,1,2,FIFA World Cup qualification,Doha,Qatar,False,2
24336,2001-10-05,Bahrain,Qatar,1,0,Friendly,Manama,Bahrain,False,2
24338,2001-10-05,Iraq,Saudi Arabia,1,2,FIFA World Cup qualification,Amman,Jordan,True,2
24339,2001-10-06,Armenia,Norway,1,4,FIFA World Cup qualification,Yerevan,Armenia,False,2
24340,2001-10-06,Bolivia,Ecuador,1,5,FIFA World Cup qualification,La Paz,Bolivia,False,2
24341,2001-10-06,Croatia,Belgium,1,0,FIFA World Cup qualification,Zagreb,Croatia,False,2
24342,2001-10-06,Czech Republic,Bulgaria,6,0,FIFA World Cup qualification,Prague,Czech Republic,False,2
24343,2001-10-06,Denmark,Iceland,6,0,FIFA World Cup qualification,Copenhagen,Denmark,False,2
24344,2001-10-06,England,Greece,2,2,FIFA World Cup qualification,Manchester,England,False,2
24345,2001-10-06,France,Algeria,4,1,Friendly,Saint-Denis,France,False,2
24346,2001-10-06,Germany,Finland,0,0,FIFA World Cup qualification,Gelsenkirchen,Germany,False,2
24347,2001-10-06,Republic of Ireland,Cyprus,4,0,FIFA World Cup qualification,Dublin,Republic of Ireland,False,2
24348,2001-10-06,Italy,Hungary,1,0,FIFA World Cup qualification,Parma,Italy,False,2
24349,2001-10-06,Malta,Northern Ireland,0,1,FIFA World Cup qualification,Attard,Malta,False,2
24350,2001-10-06,Moldova,Turkey,0,3,FIFA World Cup qualification,Chişinău,Moldova,False,2
24351,2001-10-06,Netherlands,Andorra,4,0,FIFA World Cup qualification,Arnhem,Netherlands,False,2
24352,2001-10-06,Poland,Ukraine,1,1,FIFA World Cup qualification,Chorzów,Poland,False,2
24353,2001-10-06,Portugal,Estonia,5,0,FIFA World Cup qualification,Lisbon,Portugal,False,2
24354,2001-10-06,Romania,Georgia,1,1,FIFA World Cup qualification,Bucharest,Romania,False,2
24355,2001-10-06,Russia,Switzerland,4,0,FIFA World Cup qualification,Moscow,Russia,False,2
24356,2001-10-06,Scotland,Latvia,2,1,FIFA World Cup qualification,Glasgow,Scotland,False,2
24357,2001-10-06,Serbia,Luxembourg,6,2,FIFA World Cup qualification,Belgrade,Yugoslavia,True,2
24358,2001-10-06,Slovenia,Faroe Islands,3,0,FIFA World Cup qualification,Ljubljana,Slovenia,False,2
24359,2001-10-06,Venezuela,Peru,3,0,FIFA World Cup qualification,San Cristóbal,Venezuela,False,2
24360,2001-10-06,Wales,Belarus,1,0,FIFA World Cup qualification,Cardiff,Wales,False,2
24361,2001-10-07,Bosnia and Herzegovina,Liechtenstein,5,0,FIFA World Cup qualification,Zenica,Bosnia and Herzegovina,False,2
24362,2001-10-07,Brazil,Chile,2,0,FIFA World Cup qualification,Curitiba,Brazil,False,2
24363,2001-10-07,China PR,Oman,1,0,FIFA World Cup qualification,Shenyang,China PR,False,2
24364,2001-10-07,Costa Rica,Mexico,0,0,FIFA World Cup qualification,San José,Costa Rica,False,2
24365,2001-10-07,Honduras,Trinidad and Tobago,0,1,FIFA World Cup qualification,San Pedro Sula,Honduras,False,2
24366,2001-10-07,Japan,Nigeria,2,2,Friendly,Southampton,England,True,2
24368,2001-10-07,Paraguay,Argentina,2,2,FIFA World Cup qualification,Asunción,Paraguay,False,2
24369,2001-10-07,Sweden,Azerbaijan,3,0,FIFA World Cup qualification,Solna,Sweden,False,2
24370,2001-10-07,Uruguay,Colombia,1,1,FIFA World Cup qualification,Montevideo,Uruguay,False,2
24372,2001-10-12,Gambia,Morocco,0,2,Friendly,Bamako,Mali,True,2
24374,2001-10-13,China PR,Qatar,3,0,FIFA World Cup qualification,Shenyang,China PR,False,2
24375,2001-10-13,Oman,Uzbekistan,4,2,FIFA World Cup qualification,Muscat,Oman,False,2
24376,2001-10-14,Mali,Morocco,2,1,Friendly,Bamako,Mali,False,2
24377,2001-10-15,Algeria,Burkina Faso,2,0,Friendly,Annaba,Algeria,False,2
24378,2001-10-16,Thailand,Bahrain,1,1,FIFA World Cup qualification,Bangkok,Thailand,False,2
24379,2001-10-18,Kuwait,Qatar,0,1,Friendly,Kuwait City,Kuwait,False,2
24380,2001-10-19,United Arab Emirates,Oman,2,2,FIFA World Cup qualification,Abu Dhabi,United Arab Emirates,False,2
24381,2001-10-19,Uzbekistan,China PR,1,0,FIFA World Cup qualification,Tashkent,Uzbekistan,False,2
24382,2001-10-21,Bahamas,Haiti,0,2,Friendly,Nassau,Bahamas,False,2
24384,2001-10-21,Saudi Arabia,Thailand,4,1,FIFA World Cup qualification,Riyadh,Saudi Arabia,False,2
24385,2001-10-24,Kenya,Uganda,0,0,Friendly,Arusha,Tanzania,True,2
24389,2001-10-27,Israel,Austria,1,1,FIFA World Cup qualification,Ramat-Gan,Israel,False,2
24390,2001-10-27,Tanzania,Kenya,3,1,Friendly,Mwanza,Tanzania,False,2
24391,2001-10-31,Mexico,El Salvador,4,1,Friendly,Puebla,Mexico,False,2
24393,2001-11-03,Benin,Guinea-Bissau,2,7,Amílcar Cabral Cup,Bamako,Mali,True,2
24394,2001-11-03,Mali,Mauritania,3,2,Amílcar Cabral Cup,Bamako,Mali,False,2
24395,2001-11-05,Benin,Mauritania,2,0,Amílcar Cabral Cup,Ségou,Mali,True,2
24396,2001-11-05,Mali,Guinea-Bissau,2,0,Amílcar Cabral Cup,Ségou,Mali,False,2
24397,2001-11-07,Bolivia,Brazil,3,1,FIFA World Cup qualification,La Paz,Bolivia,False,2
24399,2001-11-07,Colombia,Chile,3,1,FIFA World Cup qualification,Bogotá,Colombia,False,2
24400,2001-11-07,Ecuador,Uruguay,1,1,FIFA World Cup qualification,Quito,Ecuador,False,2
24401,2001-11-07,Guinea-Bissau,Mauritania,1,0,Amílcar Cabral Cup,Ségou,Mali,True,2
24402,2001-11-07,Japan,Italy,1,1,Friendly,Saitama,Japan,False,2
24403,2001-11-07,Mali,Benin,0,0,Amílcar Cabral Cup,Ségou,Mali,False,2
24404,2001-11-08,Argentina,Peru,2,0,FIFA World Cup qualification,Buenos Aires,Argentina,False,2
24406,2001-11-08,Venezuela,Paraguay,3,1,FIFA World Cup qualification,San Cristóbal,Venezuela,False,2
24407,2001-11-09,Mali,Gambia,0,1,Amílcar Cabral Cup,Ségou,Mali,False,2
24408,2001-11-10,Austria,Turkey,0,1,FIFA World Cup qualification,Vienna,Austria,False,2
24409,2001-11-10,Belgium,Czech Republic,1,0,FIFA World Cup qualification,Brussels,Belgium,False,2
24410,2001-11-10,Denmark,Netherlands,1,1,Friendly,Copenhagen,Denmark,False,2
24411,2001-11-10,England,Sweden,1,1,Friendly,Manchester,England,False,2
24412,2001-11-10,Greece,Estonia,4,2,Friendly,Athens,Greece,False,2
24415,2001-11-10,Slovenia,Romania,2,1,FIFA World Cup qualification,Ljubljana,Slovenia,False,2
24416,2001-11-10,South Africa,Egypt,1,0,Friendly,Johannesburg,South Africa,False,2
24417,2001-11-10,Ukraine,Germany,1,1,FIFA World Cup qualification,Kyïv,Ukraine,False,2
24418,2001-11-11,Australia,France,1,1,Friendly,Melbourne,Australia,False,2
24419,2001-11-11,Jamaica,Costa Rica,0,1,FIFA World Cup qualification,Kingston,Jamaica,False,2
24420,2001-11-11,Mali,Guinea-Bissau,2,1,Amílcar Cabral Cup,Bamako,Mali,False,2
24421,2001-11-11,Mexico,Honduras,3,0,FIFA World Cup qualification,Mexico City,Mexico,False,2
24424,2001-11-14,Brazil,Venezuela,3,0,FIFA World Cup qualification,São Luís,Brazil,False,2
24425,2001-11-14,Chile,Ecuador,0,0,FIFA World Cup qualification,Santiago,Chile,False,2
24426,2001-11-14,Czech Republic,Belgium,0,1,FIFA World Cup qualification,Prague,Czech Republic,False,2
24427,2001-11-14,Estonia,Kazakhstan,0,0,Friendly,Tallinn,Estonia,False,2
24428,2001-11-14,Germany,Ukraine,4,1,FIFA World Cup qualification,Dortmund,Germany,False,2
24429,2001-11-14,Greece,Cyprus,1,2,Friendly,Athens,Greece,False,2
24431,2001-11-14,Latvia,Russia,1,3,Friendly,Riga,Latvia,False,2
24432,2001-11-14,Malta,Canada,2,1,Friendly,Paola,Malta,False,2
24433,2001-11-14,Morocco,Zambia,1,0,Friendly,Rabat,Morocco,False,2
24434,2001-11-14,Paraguay,Colombia,0,4,FIFA World Cup qualification,Asunción,Paraguay,False,2
24435,2001-11-14,Peru,Bolivia,1,1,FIFA World Cup qualification,Lima,Peru,False,2
24436,2001-11-14,Poland,Cameroon,0,0,Friendly,Poznań,Poland,False,2
24437,2001-11-14,Portugal,Angola,5,1,Friendly,Lisbon,Portugal,False,2
24438,2001-11-14,Romania,Slovenia,1,1,FIFA World Cup qualification,Bucharest,Romania,False,2
24439,2001-11-14,Spain,Mexico,1,0,Friendly,Huelva,Spain,False,2
24440,2001-11-14,Turkey,Austria,5,0,FIFA World Cup qualification,Istanbul,Turkey,False,2
24441,2001-11-14,Uruguay,Argentina,1,1,FIFA World Cup qualification,Montevideo,Uruguay,False,2
24443,2001-11-20,Australia,Uruguay,1,0,FIFA World Cup qualification,Melbourne,Australia,False,2
24445,2001-11-21,Ethiopia,Zambia,1,2,Friendly,Addis Abeba,Ethiopia,False,2
24446,2001-11-25,Uruguay,Australia,3,0,FIFA World Cup qualification,Montevideo,Uruguay,False,2
24447,2001-11-28,Tunisia,Togo,1,0,Friendly,Tunis,Tunisia,False,2
24448,2001-11-29,Oman,Kuwait,1,1,Friendly,Muscat,Oman,False,2
24449,2001-12-05,Algeria,Ghana,1,1,Friendly,Algiers,Algeria,False,2
24451,2001-12-08,Rwanda,Somalia,3,0,CECAFA Cup,Kigali,Rwanda,False,2
24452,2001-12-09,Burundi,Tanzania,1,2,CECAFA Cup,Kigali,Rwanda,True,2
24454,2001-12-09,Uganda,Djibouti,10,1,CECAFA Cup,Kigali,Rwanda,True,2
24455,2001-12-10,Kenya,Eritrea,2,1,CECAFA Cup,Kigali,Rwanda,True,2
24456,2001-12-11,Burundi,Djibouti,3,1,CECAFA Cup,Kigali,Rwanda,True,2
24457,2001-12-11,Uganda,Tanzania,0,1,CECAFA Cup,Kigali,Rwanda,True,2
24458,2001-12-12,Kenya,Somalia,3,0,CECAFA Cup,Kigali,Rwanda,True,2
24459,2001-12-12,Rwanda,Eritrea,1,0,CECAFA Cup,Kigali,Rwanda,False,2
24460,2001-12-13,Bahrain,Oman,2,2,Friendly,Manama,Bahrain,False,2
24462,2001-12-13,Tanzania,Djibouti,4,1,CECAFA Cup,Kigali,Rwanda,True,2
24463,2001-12-14,Eritrea,Somalia,0,0,CECAFA Cup,Kigali,Rwanda,True,2
24464,2001-12-14,Uganda,Burundi,0,2,CECAFA Cup,Kigali,Rwanda,True,2
24465,2001-12-15,Botswana,Namibia,3,2,Friendly,Gaborone,Botswana,False,2
24466,2001-12-15,El Salvador,Haiti,0,0,Friendly,Miami,United States,True,2
24467,2001-12-15,Rwanda,Kenya,0,0,CECAFA Cup,Kigali,Rwanda,False,2
24468,2001-12-16,Botswana,Lesotho,1,0,Friendly,Gaborone,Botswana,False,2
24469,2001-12-16,Burkina Faso,Togo,1,2,Friendly,Ouagadougou,Burkina Faso,False,2
24470,2001-12-17,Kenya,Eritrea,1,0,CECAFA Cup,Kigali,Rwanda,True,2
24471,2001-12-18,Ethiopia,Burundi,2,2,Friendly,Kigali,Rwanda,True,2
24472,2001-12-18,Rwanda,Uganda,3,2,CECAFA Cup,Kigali,Rwanda,False,2
24473,2001-12-20,Rwanda,Ethiopia,0,1,CECAFA Cup,Kigali,Rwanda,False,2
24474,2001-12-22,Kenya,Ethiopia,1,2,CECAFA Cup,Kigali,Rwanda,True,2
24475,2001-12-22,Togo,Burkina Faso,1,0,Friendly,Lomé,Togo,False,2
24476,2001-12-23,Oman,Syria,2,0,Friendly,Muscat,Oman,False,2
24477,2001-12-25,Mali,Ghana,1,1,Friendly,Mopti,Mali,False,2
24478,2001-12-25,Oman,Syria,1,0,Friendly,Muscat,Oman,False,2
24479,2001-12-26,Senegal,Burkina Faso,2,4,Friendly,Dakar,Senegal,False,2
24481,2001-12-28,Mali,Burkina Faso,2,1,Friendly,Ségou,Mali,False,2
24483,2001-12-29,Kuwait,Syria,0,0,Friendly,Kuwait City,Kuwait,False,2
24485,2001-12-30,Benin,Togo,1,1,Friendly,Cotonou,Benin,False,2
24487,2001-12-30,Qatar,Egypt,2,2,Friendly,Doha,Qatar,False,2
24488,2001-12-30,Saudi Arabia,Zimbabwe,0,2,Friendly,Riyadh,Saudi Arabia,False,2
24489,2001-12-30,Senegal,Algeria,1,0,Friendly,Dakar,Senegal,False,2
24490,2001-12-30,Tunisia,Liberia,7,2,Friendly,Tunis,Tunisia,False,2
24491,2001-12-31,Kuwait,Syria,2,2,Friendly,Kuwait City,Kuwait,False,2
24492,2002-01-04,Bahrain,Finland,0,2,Prime Minister's Cup,Riffa,Bahrain,False,2
24493,2002-01-04,Egypt,Ghana,2,0,Friendly,Cairo,Egypt,False,2
24496,2002-01-05,Kuwait,Zimbabwe,3,0,Friendly,Kuwait City,Kuwait,False,2
24497,2002-01-06,Cuba,Guatemala,0,1,Friendly,Havana,Cuba,False,2
24498,2002-01-06,Egypt,Mali,1,2,Friendly,Ismailia,Egypt,False,2
24500,2002-01-07,Albania,Finland,1,1,Prime Minister's Cup,Riffa,Bahrain,True,2
24502,2002-01-07,Burkina Faso,Cameroon,1,3,Friendly,Ouagadougou,Burkina Faso,False,2
